<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
GDAX.BTC-USD 60 20210328 010000 55900.1000000 56640.0000000 55750.0000000 56457.2700000 448
GDAX.BTC-USD 60 20210328 020000 56456.9400000 56540.0000000 56066.7400000 56407.9500000 573
GDAX.BTC-USD 60 20210328 030000 56403.7100000 56475.5600000 55779.0500000 55856.5300000 475
GDAX.BTC-USD 60 20210328 040000 55856.5400000 56134.3700000 55573.4900000 56051.6600000 523
GDAX.BTC-USD 60 20210328 050000 56051.6600000 56225.9500000 55834.9100000 56130.2200000 549
GDAX.BTC-USD 60 20210328 060000 56130.2200000 56157.3900000 55783.7500000 55855.4100000 439
GDAX.BTC-USD 60 20210328 070000 55855.4100000 56181.4300000 55791.6400000 56069.6400000 309
GDAX.BTC-USD 60 20210328 080000 56062.4200000 56500.0000000 56062.4200000 56291.8500000 386
GDAX.BTC-USD 60 20210328 090000 56291.8500000 56417.6500000 56091.9800000 56265.3100000 341
GDAX.BTC-USD 60 20210328 100000 56272.8600000 56329.1400000 55845.8300000 55945.2000000 217
GDAX.BTC-USD 60 20210328 110000 55945.2000000 56291.7100000 55886.1000000 56225.1800000 169
GDAX.BTC-USD 60 20210328 120000 56225.1800000 56314.2000000 55994.4800000 56306.6800000 184
GDAX.BTC-USD 60 20210328 130000 56306.9100000 56587.0800000 56031.9100000 56116.3500000 292
GDAX.BTC-USD 60 20210328 140000 56123.0500000 56188.9200000 55715.6100000 56096.8000000 287
GDAX.BTC-USD 60 20210328 150000 56101.9000000 56101.9000000 55777.4700000 55792.1700000 235
GDAX.BTC-USD 60 20210328 160000 55788.3600000 56007.5200000 55275.0600000 55508.1700000 547
GDAX.BTC-USD 60 20210328 170000 55507.5100000 55899.8900000 55425.9600000 55769.8800000 332
GDAX.BTC-USD 60 20210328 180000 55751.0800000 55838.5400000 55498.0800000 55803.2700000 391
GDAX.BTC-USD 60 20210328 190000 55803.2600000 56387.0500000 55654.2900000 56357.4200000 390
GDAX.BTC-USD 60 20210328 200000 56357.4300000 56479.8700000 56035.3600000 56270.6100000 329
GDAX.BTC-USD 60 20210328 210000 56270.6100000 56311.8200000 55820.0000000 55966.7400000 288
GDAX.BTC-USD 60 20210328 220000 55959.7100000 56000.0000000 55183.6100000 55206.6100000 523
GDAX.BTC-USD 60 20210328 230000 55206.6100000 55426.3600000 54701.0000000 55224.6100000 779
GDAX.BTC-USD 60 20210329 000000 55224.6100000 55226.8200000 54777.7700000 54844.0900000 532
GDAX.BTC-USD 60 20210329 010000 54839.2200000 55332.8800000 54807.8700000 55125.0100000 360
GDAX.BTC-USD 60 20210329 020000 55125.0100000 55647.7000000 54998.5200000 55596.0100000 436
GDAX.BTC-USD 60 20210329 030000 55596.0100000 55876.8100000 55505.6100000 55778.8200000 394
GDAX.BTC-USD 60 20210329 040000 55781.2200000 55908.9300000 55290.0000000 55389.0000000 452
GDAX.BTC-USD 60 20210329 050000 55389.0000000 55491.4000000 54962.1900000 55220.5600000 541
GDAX.BTC-USD 60 20210329 060000 55220.5600000 55494.1700000 55127.5100000 55352.0400000 347
GDAX.BTC-USD 60 20210329 070000 55342.2000000 55523.4500000 55253.6100000 55355.6100000 236
GDAX.BTC-USD 60 20210329 080000 55355.6100000 55500.0000000 55074.7900000 55324.0400000 392
GDAX.BTC-USD 60 20210329 090000 55308.0400000 55413.5200000 54900.0000000 55027.9300000 346
GDAX.BTC-USD 60 20210329 100000 55025.3000000 55488.5700000 55012.1200000 55389.0700000 328
GDAX.BTC-USD 60 20210329 110000 55389.0800000 56160.0000000 55350.6100000 55913.4700000 504
GDAX.BTC-USD 60 20210329 120000 55913.4600000 57199.9900000 55908.5400000 57103.4700000 967
GDAX.BTC-USD 60 20210329 130000 57109.5800000 58191.8300000 56976.4400000 57932.5200000 1124
GDAX.BTC-USD 60 20210329 140000 57934.6200000 58325.8500000 57769.4700000 58047.0100000 852
GDAX.BTC-USD 60 20210329 150000 58047.0100000 58134.8800000 57611.4300000 57886.1500000 960
GDAX.BTC-USD 60 20210329 160000 57888.7600000 58400.0000000 57781.5000000 58032.5200000 1103
GDAX.BTC-USD 60 20210329 170000 58032.5100000 58220.3900000 57813.2600000 57956.6800000 865
GDAX.BTC-USD 60 20210329 180000 57957.7900000 58245.0000000 57831.6400000 58159.9900000 897
GDAX.BTC-USD 60 20210329 190000 58159.9900000 58203.8800000 57296.2500000 57721.0100000 1140
GDAX.BTC-USD 60 20210329 200000 57734.6900000 57886.2000000 57178.1200000 57597.1100000 1223
GDAX.BTC-USD 60 20210329 210000 57597.1100000 58292.2000000 57535.6000000 57894.2300000 1166
GDAX.BTC-USD 60 20210329 220000 57894.2300000 58000.0000000 57530.0600000 57800.0000000 950
GDAX.BTC-USD 60 20210329 230000 57800.0000000 57844.0900000 57410.0000000 57681.8200000 718
GDAX.BTC-USD 60 20210330 000000 57681.8300000 57728.1400000 57056.8000000 57235.9300000 761
GDAX.BTC-USD 60 20210330 010000 57233.7500000 57607.1900000 57171.7300000 57534.3300000 567
GDAX.BTC-USD 60 20210330 020000 57534.3400000 57910.8300000 57436.9600000 57727.6500000 568
GDAX.BTC-USD 60 20210330 030000 57727.6400000 57775.7300000 57282.6100000 57613.4800000 549
GDAX.BTC-USD 60 20210330 040000 57613.7600000 57729.8600000 57385.9400000 57503.0100000 425
GDAX.BTC-USD 60 20210330 050000 57503.0100000 57575.3400000 57197.0000000 57364.5000000 915
GDAX.BTC-USD 60 20210330 060000 57364.5000000 57371.7300000 57100.0000000 57260.8200000 594
GDAX.BTC-USD 60 20210330 070000 57260.8300000 57300.0000000 57000.0000000 57107.5000000 948
GDAX.BTC-USD 60 20210330 080000 57106.9700000 57788.4200000 57022.0200000 57545.0000000 523
GDAX.BTC-USD 60 20210330 090000 57540.2700000 57662.2800000 57343.8000000 57641.8300000 332
GDAX.BTC-USD 60 20210330 100000 57641.8400000 58249.0000000 57486.6100000 58050.2000000 801
GDAX.BTC-USD 60 20210330 110000 58050.2000000 58256.4200000 57933.7700000 58119.8700000 259
GDAX.BTC-USD 60 20210330 120000 58116.4300000 58188.6900000 57734.1800000 57945.8000000 322
GDAX.BTC-USD 60 20210330 130000 57945.7900000 58888.0000000 57862.0200000 58829.5000000 804
GDAX.BTC-USD 60 20210330 140000 58837.3200000 59300.0000000 58615.3300000 58860.0100000 997
